[2025-08-31 11:37:49.166] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-08-31 11:37:49.167] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2025-08-31 11:37:49.336] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-31 11:37:49.423] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-08-31 11:37:49.424] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-08-31 11:37:49.484] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-08-31 11:37:49.485] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-08-31 11:37:49.595] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-08-31 11:37:49.596] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-08-31 11:37:49.737] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-08-31 11:37:49.738] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-08-31 11:37:49.800] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-08-31 11:37:49.801] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-08-31 11:37:49.910] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-08-31 11:37:49.911] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-08-31 11:37:49.973] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":42}
[2025-08-31 11:37:49.975] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":42}
[2025-08-31 11:37:50.084] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-08-31 11:37:50.084] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-08-31 11:37:50.138] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":44}
[2025-08-31 11:37:50.140] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":44}
[2025-08-31 11:37:50.189] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-08-31 11:37:50.191] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-08-31 11:37:50.295] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":46}
[2025-08-31 11:37:50.296] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":46}
[2025-08-31 11:37:50.336] [info]  Splash.updateCountdownSeconds: undefined
[2025-08-31 11:37:50.341] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-08-31 11:37:50.343] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-08-31 11:37:50.441] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":48}
[2025-08-31 11:37:50.442] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":48}
[2025-08-31 11:37:50.492] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":49}
[2025-08-31 11:37:50.493] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":49}
[2025-08-31 11:37:50.637] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-08-31 11:37:50.638] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-08-31 11:37:50.650] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":51}
[2025-08-31 11:37:50.650] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":51}
[2025-08-31 11:37:50.751] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":52}
[2025-08-31 11:37:50.752] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":52}
[2025-08-31 11:37:50.786] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":53}
[2025-08-31 11:37:50.786] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":53}
[2025-08-31 11:37:50.833] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":54}
[2025-08-31 11:37:50.834] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":54}
[2025-08-31 11:37:50.907] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":55}
[2025-08-31 11:37:50.908] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":55}
[2025-08-31 11:37:50.953] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":56}
[2025-08-31 11:37:50.953] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":56}
[2025-08-31 11:37:50.979] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":57}
[2025-08-31 11:37:50.980] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":57}
[2025-08-31 11:37:51.113] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":58}
[2025-08-31 11:37:51.114] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":58}
[2025-08-31 11:37:51.165] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":59}
[2025-08-31 11:37:51.166] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":59}
[2025-08-31 11:37:51.220] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":60}
[2025-08-31 11:37:51.221] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":60}
